benchmark,LOC,orig-runtime,jitprof w/o sampling runtime,jitprof random sampling runtime
Octane-Splay,395,0.0052725127245484915,0.41159999999999997,0.11199999999999999
Octane-Richards,537,0.006180272481032249,2.0614,0.277
Octane-DeltaBlue,880,0.015309275112991384,2.951,0.5408000000000001
Octane-Crypto,1697,0.02106363377811863,69.0654,6.9434
Octane-Box2d,9528,0.17997840650145402,81.32199999999999,1.0628
Octane-Code-Load,1527,0.019075681161405567,2.182,0.041800000000000004
Octane-Gbemu,11106,0.23054121632853627,299.6182,35.7724
Octane-Earley-Boyer,4683,0.0396640027985193,32.531600000000005,5.1453999999999995
Octane-Navier-Stokes,407,0.023052397105221334,40.6834,0.0666
Octane-Pdfjs,33062,0.2470127515688993,71.9948,2.6510000000000007
Octane-Raytrace,904,0.02046081360720265,11.7406,1.6743999999999999
Octane-Regexp,1765,0.07218706384591711,5.8902,0.2942
Octane-Typescript,25911,1.497620123915088,692.8742,15.2326
SunSpider-3d-Cube,339,0.012251859679970525,7.0968,0.8486
SunSpider-3d-Morph,56,0.00991747131398374,5.9552,1.2986
SunSpider-3d-Raytrace,443,0.01486263231772604,8.7732,1.0983999999999998
SunSpider-Access-Binary-Trees,52,0.004738216260545518,3.4781999999999997,0.6668000000000001
SunSpider-Access-Fannkuch,68,0.008354458293039208,15.959999999999999,15.8312
SunSpider-Access-Nbody,170,0.007734519743702707,13.1066,1.5117999999999998
SunSpider-Access-Nsieve,39,0.006231301537515761,4.6872,0.0262
SunSpider-Bitops-3bit-Bits-in-Byte,38,0.0026180913970342964,3.9473999999999996,1.4674
SunSpider-Bitops-Bits-in-Byte,26,0.004660991379687576,5.9632000000000005,1.353
SunSpider-Bitops-Bitwise-And,31,0.003432466653994319,4.017,4.030199999999999
SunSpider-Bitops-Nsieve-Bits,35,0.007330236858310398,9.2708,0.04359999999999999
SunSpider-Controlflow-Recursive,25,0.0010548387096774195,0.0172,0.0172
SunSpider-Crypto-AES,425,0.010191950695118857,8.5354,1.0128
SunSpider-Crypto-MD5,288,0.006671967290357149,2.4829999999999997,0.2386
SunSpider-Crypto-SHA1,225,0.010171617687944797,2.5002,0.2084
SunSpider-Date-Format-Tofte,300,0.013978242498818686,12.2614,1.5741999999999998
SunSpider-Date-Format-Xparb,418,0.012137207748705473,2.1521999999999997,0.3672000000000001
SunSpider-Math-Cordic,101,0.0059366784037518374,6.7874,0.741
SunSpider-Math-Partial-Sums,33,0.01066665087757864,3.1399999999999997,0.16519999999999999
SunSpider-Math-Spectral-Norm,51,0.001122516556291391,0.018400000000000003,0.0188
SunSpider-Regexp-DNA,1714,0.009523820950863439,0.0312,0.0314
SunSpider-String-Base64,136,0.00909003550696049,3.6195999999999997,0.6088
SunSpider-String-Fasta,90,0.009660084598962226,3.4706,0.5815999999999999
SunSpider-String-Tagcloud,266,0.02811319275938117,4.5032,0.095
SunSpider-String-Unpack-Code,67,0.026935251236994175,2.4132,0.40659999999999996
SunSpider-String-Validate-Input,90,0.002,0.0254,0.0242